client_id,company_name,industry,company_size,signup_date,acquisition_channel,acquisition_campaign,lead_id,status,churn_date
C0034,Ironwood Group,Logistics,1-10,2025-03-08,Paid Search,gs_latam_talent,L00375,active,
C0035,Northgate LLC,Insurance,200+,2025-03-17,Paid Social,li_agency_owners,L00381,churned,2026-04-20
C0036,Cedar Creek Group,Marketing Agency,1-10,2025-03-12,Paid Search,gs_latam_talent,L00389,churned,2025-11-28
C0037,Redstone Media,Logistics,200+,2025-03-21,Referral,client_referral,L00425,active,
C0038,Clearview Solutions,Logistics,200+,2025-03-15,Referral,partner,L00435,active,
C0039,Vantage Partners,SaaS,11-50,2025-03-12,Referral,partner,L00445,active,
C0040,Summit LLC,Marketing Agency,1-10,2025-03-28,Paid Search,gs_latam_talent,L00469,active,
C0041,Pinnacle Solutions,Construction,51-200,2025-03-15,Paid Search,gs_va_hire,L00483,active,
C0042,Westbrook Partners,Real Estate,51-200,2025-03-26,Paid Social,li_agency_owners,L00495,active,
C0043,Northgate Partners,Real Estate,200+,2025-03-26,Referral,client_referral,L00512,active,
C0044,Brightpath LLC,Marketing Agency,11-50,2025-04-02,Paid Search,gs_latam_talent,L00516,active,
C0045,Kingsley Realty,Real Estate,1-10,2025-03-25,Organic,seo_landing,L00519,active,
C0046,Westbrook Solutions,Marketing Agency,200+,2025-04-13,Referral,partner,L00522,active,
C0047,Clearview Solutions,Marketing Agency,1-10,2025-03-29,Paid Search,gs_latam_talent,L00539,active,
C0048,Brightpath Capital,Construction,51-200,2025-03-25,Referral,partner,L00543,active,
C0049,Lakeshore Realty,Real Estate,11-50,2025-03-26,Outbound,linkedin_dm,L00554,active,
C0050,Kingsley Realty,Healthcare,51-200,2025-04-03,Paid Search,gs_latam_talent,L00557,active,
C0051,Oakfield Capital,Legal,51-200,2025-03-30,Organic,blog,L00561,active,
C0052,Westbrook Solutions,Insurance,200+,2025-04-03,Paid Search,gs_latam_talent,L00580,active,
C0053,Blue Harbor Group,Legal,51-200,2025-04-11,Paid Social,fb_founders,L00602,churned,2025-06-27
C0054,Oakfield Realty,Construction,200+,2025-04-12,Paid Search,gs_competitor,L00607,active,
C0055,Clearview Solutions,SaaS,1-10,2025-04-10,Referral,client_referral,L00613,active,
C0056,Westbrook Realty,Healthcare,1-10,2025-04-13,Paid Search,gs_va_hire,L00643,active,
C0057,Clearview Media,Insurance,1-10,2025-04-17,Organic,blog,L00661,active,
C0058,Northgate LLC,SaaS,11-50,2025-04-12,Referral,partner,L00662,active,
C0059,Brightpath Realty,Insurance,1-10,2025-04-15,Paid Search,gs_va_hire,L00666,churned,2025-10-09
C0060,Westbrook Media,Construction,1-10,2025-04-17,Paid Search,gs_competitor,L00667,active,
C0061,Lakeshore Group,E-commerce,200+,2025-04-09,Outbound,cold_email_q2,L00675,active,
C0062,Kingsley Media,Healthcare,200+,2025-04-18,Paid Search,gs_latam_talent,L00678,active,
C0063,Redstone Solutions,E-commerce,1-10,2025-04-16,Paid Search,gs_latam_talent,L00682,active,
C0064,Lakeshore Capital,Real Estate,11-50,2025-04-24,Paid Social,fb_retarget,L00694,active,
C0065,Cedar Creek Realty,Logistics,11-50,2025-04-23,Referral,client_referral,L00714,active,
C0066,Ironwood Realty,Marketing Agency,11-50,2025-04-27,Referral,client_referral,L00726,active,
C0067,Redstone Partners,Legal,200+,2025-04-22,Paid Social,fb_retarget,L00746,active,
C0068,Summit Realty,SaaS,200+,2025-04-30,Outbound,linkedin_dm,L00758,active,
C0069,Cedar Creek Solutions,Insurance,200+,2025-05-04,Referral,partner,L00777,active,
C0070,Silverline Solutions,Healthcare,11-50,2025-05-11,Paid Search,gs_latam_talent,L00779,active,
C0071,Cedar Creek Group,Real Estate,11-50,2025-04-25,Paid Social,li_agency_owners,L00783,active,
C0072,Pinnacle Realty,Real Estate,51-200,2025-05-03,Referral,partner,L00794,active,
C0073,Summit Partners,E-commerce,51-200,2025-05-07,Referral,partner,L00803,active,
C0074,Oakfield Media,Legal,1-10,2025-05-12,Paid Social,fb_founders,L00809,active,
C0075,Redstone LLC,Insurance,51-200,2025-05-03,Paid Search,gs_va_hire,L00825,active,
C0076,Cedar Creek LLC,Logistics,1-10,2025-05-04,Organic,blog,L00850,active,
C0077,Oakfield Solutions,Legal,200+,2025-05-16,Outbound,linkedin_dm,L00854,churned,2025-09-29
C0078,Brightpath Group,Logistics,200+,2025-05-07,Paid Search,gs_latam_talent,L00869,churned,2025-12-16
C0079,Pinnacle Partners,Healthcare,51-200,2025-05-16,Paid Social,fb_retarget,L00876,active,
C0080,Blue Harbor LLC,Construction,11-50,2025-05-30,Referral,client_referral,L00900,churned,2026-04-02
C0081,Lakeshore Realty,Real Estate,200+,2025-05-24,Organic,seo_landing,L00932,churned,2026-07-04
C0082,Vantage Capital,Healthcare,11-50,2025-05-31,Paid Search,gs_competitor,L00954,active,
C0083,Northgate Partners,Logistics,11-50,2025-05-22,Paid Search,gs_va_hire,L00958,active,
C0084,Pinnacle LLC,Construction,51-200,2025-05-23,Referral,client_referral,L00962,active,
C0085,Vantage Realty,SaaS,11-50,2025-05-22,Referral,client_referral,L00963,active,
C0086,Redstone Partners,Healthcare,1-10,2025-05-23,Organic,blog,L00973,active,
C0087,Oakfield Group,Marketing Agency,51-200,2025-05-29,Referral,client_referral,L00975,active,
C0088,Pinnacle Solutions,Logistics,11-50,2025-05-30,Outbound,linkedin_dm,L00978,churned,2025-08-21
C0089,Oakfield Capital,Logistics,200+,2025-05-25,Paid Search,gs_latam_talent,L00992,active,
C0090,Westbrook Solutions,Insurance,51-200,2025-05-22,Paid Search,gs_latam_talent,L01015,active,
C0091,Pinnacle Group,Healthcare,11-50,2025-06-01,Paid Search,gs_competitor,L01019,active,
C0092,Vantage Media,Insurance,1-10,2025-05-31,Outbound,cold_email_q1,L01024,active,
C0093,Redstone Realty,Legal,51-200,2025-06-07,Paid Search,gs_latam_talent,L01029,churned,2026-01-07
C0094,Pinnacle Capital,Healthcare,11-50,2025-06-07,Referral,client_referral,L01066,active,
C0095,Ironwood Partners,Marketing Agency,1-10,2025-06-12,Outbound,cold_email_q2,L01068,active,
C0096,Summit Partners,Marketing Agency,11-50,2025-06-12,Paid Search,gs_competitor,L01073,active,
C0097,Kingsley Partners,E-commerce,1-10,2025-06-04,Organic,blog,L01077,active,
C0098,Kingsley LLC,Logistics,11-50,2025-06-14,Paid Social,li_agency_owners,L01113,active,
C0099,Cedar Creek Realty,Logistics,51-200,2025-06-13,Paid Search,gs_latam_talent,L01146,active,
C0100,Silverline Media,Marketing Agency,1-10,2025-06-17,Paid Social,fb_retarget,L01152,active,
C0101,Westbrook Solutions,E-commerce,51-200,2025-06-12,Organic,blog,L01153,active,
C0102,Pinnacle Partners,Insurance,1-10,2025-06-13,Referral,partner,L01154,churned,2025-12-27
C0103,Oakfield Partners,SaaS,11-50,2025-06-14,Paid Search,gs_va_hire,L01157,active,
C0104,Westbrook LLC,Real Estate,1-10,2025-06-15,Referral,partner,L01162,active,
C0105,Lakeshore Solutions,Logistics,51-200,2025-06-27,Paid Search,gs_va_hire,L01176,active,
C0106,Ironwood Capital,SaaS,200+,2025-06-22,Organic,blog,L01214,active,
C0107,Pinnacle Group,E-commerce,51-200,2025-06-27,Referral,partner,L01215,active,
C0108,Northgate Partners,SaaS,11-50,2025-07-08,Paid Search,gs_va_hire,L01219,active,
C0109,Oakfield Solutions,Insurance,1-10,2025-06-27,Paid Search,gs_competitor,L01220,churned,2025-10-27
C0110,Cedar Creek Partners,Healthcare,200+,2025-06-20,Paid Search,gs_competitor,L01222,active,
C0111,Lakeshore Solutions,Real Estate,200+,2025-07-01,Organic,seo_landing,L01252,active,
C0112,Pinnacle Capital,Legal,51-200,2025-06-29,Paid Search,gs_va_hire,L01258,active,
C0113,Ironwood Solutions,Insurance,200+,2025-07-07,Organic,seo_landing,L01266,churned,2026-06-22
C0114,Blue Harbor Media,Logistics,200+,2025-07-11,Referral,partner,L01311,active,
C0115,Cedar Creek Solutions,Marketing Agency,11-50,2025-07-06,Paid Search,gs_latam_talent,L01327,active,
C0116,Clearview LLC,E-commerce,1-10,2025-07-23,Organic,seo_landing,L01382,churned,2025-10-04
C0117,Lakeshore Group,Logistics,11-50,2025-07-14,Paid Search,gs_latam_talent,L01385,active,
C0118,Brightpath Group,Real Estate,200+,2025-07-15,Paid Social,fb_retarget,L01390,active,
C0119,Pinnacle Capital,SaaS,200+,2025-07-26,Referral,client_referral,L01397,active,
C0120,Oakfield Capital,Healthcare,1-10,2025-07-24,Outbound,cold_email_q2,L01433,active,
C0121,Kingsley Solutions,Legal,1-10,2025-08-03,Paid Search,gs_va_hire,L01447,active,
C0122,Northgate LLC,SaaS,51-200,2025-08-02,Outbound,cold_email_q2,L01462,active,
C0123,Blue Harbor Realty,Healthcare,51-200,2025-08-08,Paid Search,gs_latam_talent,L01472,active,
C0124,Silverline Media,Insurance,200+,2025-07-26,Paid Social,li_agency_owners,L01482,active,
C0125,Redstone Realty,Marketing Agency,51-200,2025-08-02,Paid Search,gs_va_hire,L01490,active,
C0126,Clearview Solutions,E-commerce,200+,2025-08-02,Paid Search,gs_latam_talent,L01491,active,
C0127,Silverline Realty,E-commerce,1-10,2025-08-03,Paid Search,gs_va_hire,L01496,active,
C0128,Blue Harbor Media,Legal,11-50,2025-08-03,Organic,blog,L01516,active,
C0129,Pinnacle Group,Marketing Agency,200+,2025-08-02,Referral,partner,L01524,active,
C0130,Cedar Creek Realty,Real Estate,200+,2025-08-10,Organic,blog,L01532,active,
C0131,Brightpath Media,Insurance,11-50,2025-08-07,Referral,client_referral,L01554,churned,2025-12-10
C0132,Pinnacle LLC,Legal,11-50,2025-08-08,Referral,partner,L01565,active,
C0133,Westbrook LLC,Real Estate,1-10,2025-08-19,Referral,client_referral,L01582,active,
C0134,Summit LLC,Healthcare,1-10,2025-08-12,Outbound,cold_email_q2,L01583,active,
C0135,Brightpath Solutions,E-commerce,51-200,2025-08-22,Paid Search,gs_latam_talent,L01609,churned,2026-02-09
C0136,Silverline Solutions,E-commerce,11-50,2025-09-06,Referral,client_referral,L01630,churned,2026-04-01
C0137,Lakeshore Solutions,Logistics,200+,2025-08-19,Paid Search,gs_competitor,L01637,active,
C0138,Brightpath Capital,Healthcare,51-200,2025-09-01,Paid Search,gs_latam_talent,L01662,active,
C0139,Silverline LLC,Construction,1-10,2025-08-28,Paid Social,fb_founders,L01666,churned,2026-01-02
C0140,Northgate Media,Real Estate,11-50,2025-08-31,Organic,seo_landing,L01668,active,
C0141,Redstone LLC,Healthcare,1-10,2025-09-01,Referral,partner,L01676,churned,2026-05-28
C0142,Westbrook Partners,SaaS,1-10,2025-09-10,Paid Search,gs_competitor,L01682,active,
C0143,Westbrook Capital,Marketing Agency,1-10,2025-09-13,Paid Search,gs_va_hire,L01689,churned,2026-04-29
C0144,Clearview Group,Construction,200+,2025-08-31,Paid Search,gs_latam_talent,L01690,churned,2026-02-04
C0145,Kingsley Realty,Construction,1-10,2025-09-09,Referral,partner,L01697,active,
C0146,Kingsley Media,Insurance,200+,2025-09-14,Paid Search,gs_latam_talent,L01716,active,
C0147,Redstone Solutions,E-commerce,1-10,2025-09-20,Paid Search,gs_latam_talent,L01719,active,
C0148,Silverline Solutions,Real Estate,200+,2025-09-10,Referral,client_referral,L01723,active,
C0149,Westbrook Solutions,Healthcare,200+,2025-09-15,Paid Search,gs_latam_talent,L01725,active,
C0150,Northgate Partners,Real Estate,200+,2025-09-19,Organic,blog,L01730,active,
C0151,Silverline LLC,E-commerce,11-50,2025-09-18,Paid Search,gs_competitor,L01740,active,
C0152,Clearview Solutions,Legal,1-10,2025-09-05,Referral,client_referral,L01745,churned,2026-03-16
C0153,Northgate Partners,Healthcare,51-200,2025-09-09,Organic,blog,L01751,active,
C0154,Lakeshore Realty,Healthcare,11-50,2025-09-18,Paid Search,gs_latam_talent,L01758,active,
C0155,Clearview Partners,Real Estate,51-200,2025-09-05,Paid Search,gs_va_hire,L01759,churned,2026-07-12
C0156,Summit Capital,Real Estate,200+,2025-09-13,Paid Social,li_agency_owners,L01762,active,
C0157,Ironwood Capital,Healthcare,51-200,2025-10-02,Paid Search,gs_competitor,L01779,active,
C0158,Lakeshore Media,Construction,11-50,2025-09-12,Referral,partner,L01807,active,
C0159,Blue Harbor Media,Logistics,1-10,2025-10-02,Referral,partner,L01840,churned,2026-02-19
C0160,Brightpath Media,Construction,200+,2025-10-01,Outbound,cold_email_q1,L01841,active,
C0161,Summit Media,Logistics,1-10,2025-09-28,Organic,blog,L01849,active,
C0162,Ironwood Realty,Logistics,200+,2025-09-20,Referral,client_referral,L01873,active,
C0163,Clearview Group,Legal,200+,2025-10-13,Organic,blog,L01884,churned,2026-05-23
C0164,Ironwood Partners,Healthcare,11-50,2025-10-06,Paid Search,gs_va_hire,L01892,active,
C0165,Westbrook Partners,Marketing Agency,51-200,2025-10-06,Paid Search,gs_latam_talent,L01893,active,
C0166,Redstone LLC,Healthcare,51-200,2025-10-03,Outbound,cold_email_q2,L01920,active,
C0167,Ironwood LLC,Legal,200+,2025-09-29,Paid Search,gs_latam_talent,L01922,active,
C0168,Redstone Solutions,Legal,1-10,2025-10-18,Paid Search,gs_competitor,L01954,active,
C0169,Westbrook Capital,Healthcare,200+,2025-10-04,Referral,client_referral,L01959,active,
C0170,Clearview Solutions,Construction,51-200,2025-10-24,Organic,seo_landing,L01969,active,
C0171,Redstone Media,Healthcare,1-10,2025-10-11,Paid Search,gs_latam_talent,L01974,active,
C0172,Silverline Media,Legal,51-200,2025-10-04,Paid Search,gs_latam_talent,L01975,active,
C0173,Oakfield Realty,Logistics,51-200,2025-10-13,Organic,blog,L01987,active,
C0174,Clearview Media,Real Estate,11-50,2025-10-27,Paid Search,gs_competitor,L01994,active,
C0175,Lakeshore Realty,SaaS,200+,2025-10-19,Paid Social,fb_founders,L01996,active,
C0176,Cedar Creek Partners,Insurance,200+,2025-10-22,Referral,client_referral,L01999,churned,2026-01-06
C0177,Northgate Realty,E-commerce,11-50,2025-10-15,Outbound,linkedin_dm,L02000,active,
C0178,Vantage Capital,Real Estate,200+,2025-10-20,Referral,partner,L02008,active,
C0179,Cedar Creek Media,Real Estate,1-10,2025-10-10,Paid Search,gs_latam_talent,L02014,active,
C0180,Clearview Partners,Real Estate,11-50,2025-10-26,Paid Search,gs_va_hire,L02015,active,
C0181,Westbrook Capital,E-commerce,51-200,2025-10-15,Referral,client_referral,L02034,active,
C0182,Pinnacle Media,SaaS,1-10,2025-10-24,Outbound,linkedin_dm,L02036,active,
C0183,Silverline Media,Real Estate,51-200,2025-10-21,Referral,client_referral,L02060,churned,2026-05-03
C0184,Summit Capital,Marketing Agency,11-50,2025-11-06,Referral,client_referral,L02098,active,
C0185,Vantage Partners,Legal,200+,2025-10-30,Paid Search,gs_competitor,L02112,churned,2026-06-28
C0186,Cedar Creek Media,Logistics,1-10,2025-11-02,Paid Search,gs_va_hire,L02113,active,
C0187,Oakfield Media,Logistics,1-10,2025-11-10,Paid Social,li_agency_owners,L02115,active,
C0188,Ironwood Capital,Healthcare,11-50,2025-11-05,Paid Search,gs_latam_talent,L02121,active,
C0189,Blue Harbor Partners,SaaS,1-10,2025-11-08,Referral,client_referral,L02144,active,
C0190,Blue Harbor Solutions,Insurance,51-200,2025-11-14,Outbound,linkedin_dm,L02182,active,
C0191,Northgate Realty,Insurance,1-10,2025-11-18,Paid Search,gs_va_hire,L02187,active,
C0192,Westbrook Solutions,Construction,1-10,2025-11-11,Paid Search,gs_latam_talent,L02197,active,
C0193,Cedar Creek Media,Legal,11-50,2025-11-18,Paid Search,gs_competitor,L02229,active,
C0194,Ironwood Realty,Logistics,1-10,2025-11-16,Paid Search,gs_latam_talent,L02231,active,
C0195,Blue Harbor Capital,Legal,11-50,2025-11-22,Paid Search,gs_latam_talent,L02243,active,
C0196,Blue Harbor Group,Marketing Agency,51-200,2025-11-16,Paid Social,fb_retarget,L02245,churned,2026-05-02
C0197,Redstone Partners,Real Estate,1-10,2025-11-11,Organic,seo_landing,L02255,active,
C0198,Lakeshore LLC,Insurance,51-200,2025-12-05,Organic,blog,L02273,active,
C0199,Vantage Solutions,E-commerce,1-10,2025-11-28,Referral,client_referral,L02316,active,
C0200,Lakeshore Group,Marketing Agency,1-10,2025-11-26,Paid Search,gs_latam_talent,L02321,active,
C0201,Northgate Capital,Healthcare,200+,2025-12-10,Paid Social,fb_retarget,L02327,churned,2026-07-16
C0202,Blue Harbor Realty,Construction,1-10,2025-11-27,Referral,client_referral,L02345,active,
C0203,Northgate Capital,Marketing Agency,11-50,2025-12-16,Paid Search,gs_va_hire,L02350,active,
C0204,Pinnacle Media,SaaS,51-200,2025-12-16,Referral,client_referral,L02358,churned,2026-03-08
C0205,Vantage Solutions,Healthcare,11-50,2025-12-10,Referral,client_referral,L02397,active,
C0206,Northgate Solutions,Construction,1-10,2026-01-03,Paid Search,gs_va_hire,L02434,active,
C0207,Lakeshore Group,Real Estate,1-10,2025-12-31,Paid Social,fb_founders,L02441,active,
C0208,Westbrook Solutions,Healthcare,51-200,2025-12-26,Paid Search,gs_competitor,L02456,active,
C0209,Pinnacle Solutions,E-commerce,200+,2026-01-10,Paid Search,gs_va_hire,L02457,churned,2026-05-06
C0210,Pinnacle Solutions,Healthcare,11-50,2026-01-06,Paid Social,li_agency_owners,L02468,active,
C0211,Lakeshore LLC,E-commerce,200+,2026-01-09,Referral,partner,L02474,active,
C0212,Summit Solutions,Legal,51-200,2026-01-18,Organic,seo_landing,L02499,active,
C0213,Westbrook Partners,Insurance,11-50,2026-01-14,Organic,blog,L02519,active,
C0214,Vantage Media,E-commerce,1-10,2026-01-12,Referral,partner,L02521,active,
C0215,Redstone Capital,Marketing Agency,1-10,2026-01-09,Paid Search,gs_latam_talent,L02525,active,
C0216,Cedar Creek Solutions,E-commerce,11-50,2026-01-12,Organic,seo_landing,L02528,active,
C0217,Silverline Media,Marketing Agency,51-200,2026-01-21,Outbound,linkedin_dm,L02529,active,
C0218,Blue Harbor Capital,Insurance,200+,2026-01-13,Organic,blog,L02536,active,
C0219,Redstone Realty,Healthcare,11-50,2026-01-17,Referral,client_referral,L02538,active,
C0220,Clearview Capital,Marketing Agency,51-200,2026-01-13,Paid Search,gs_competitor,L02541,churned,2026-07-21
C0221,Blue Harbor Solutions,Healthcare,200+,2026-01-17,Paid Search,gs_latam_talent,L02543,active,
C0222,Westbrook Group,Healthcare,1-10,2026-01-15,Organic,seo_landing,L02546,active,
C0223,Ironwood LLC,E-commerce,11-50,2026-01-23,Paid Search,gs_competitor,L02550,active,
C0224,Oakfield Solutions,Logistics,11-50,2026-01-18,Paid Search,gs_latam_talent,L02560,active,
C0225,Clearview Partners,Legal,11-50,2026-01-27,Referral,client_referral,L02578,active,
C0226,Kingsley Media,Marketing Agency,11-50,2026-01-29,Referral,client_referral,L02604,active,
C0227,Clearview Realty,Real Estate,200+,2026-01-26,Paid Search,gs_competitor,L02621,active,
C0228,Pinnacle Partners,Real Estate,11-50,2026-02-06,Paid Search,gs_competitor,L02629,churned,2026-07-11
C0229,Pinnacle Media,Construction,11-50,2026-02-03,Paid Social,li_agency_owners,L02638,active,
C0230,Summit Partners,Construction,51-200,2026-02-08,Paid Search,gs_latam_talent,L02649,churned,2026-06-14
C0231,Silverline Solutions,Logistics,1-10,2026-02-05,Organic,blog,L02651,active,
C0232,Westbrook Partners,Real Estate,200+,2026-02-10,Referral,client_referral,L02652,active,
C0233,Northgate Solutions,Logistics,51-200,2026-02-07,Organic,seo_landing,L02667,churned,2026-06-15
C0234,Ironwood Partners,Insurance,1-10,2026-02-15,Referral,partner,L02668,churned,2026-06-24
C0235,Vantage Media,Insurance,11-50,2026-02-10,Outbound,linkedin_dm,L02703,churned,2026-07-21
C0236,Brightpath LLC,Legal,200+,2026-02-21,Paid Search,gs_competitor,L02741,active,
C0237,Silverline LLC,Construction,11-50,2026-02-21,Paid Search,gs_competitor,L02742,active,
C0238,Clearview Realty,Real Estate,51-200,2026-02-27,Referral,partner,L02747,active,
C0239,Cedar Creek Partners,Construction,1-10,2026-02-16,Referral,client_referral,L02749,active,
C0240,Vantage Media,Healthcare,200+,2026-02-24,Organic,seo_landing,L02758,churned,2026-07-24
C0241,Redstone Solutions,Legal,200+,2026-02-16,Organic,blog,L02759,active,
C0242,Cedar Creek Group,Logistics,200+,2026-03-02,Organic,seo_landing,L02809,active,
C0243,Pinnacle Media,Real Estate,1-10,2026-02-23,Referral,partner,L02825,active,
C0244,Clearview Media,E-commerce,51-200,2026-03-05,Paid Search,gs_va_hire,L02829,active,
C0245,Pinnacle Capital,SaaS,200+,2026-03-05,Referral,partner,L02842,active,
C0246,Pinnacle Partners,SaaS,51-200,2026-03-15,Paid Social,fb_retarget,L02847,active,
C0247,Vantage Realty,Legal,200+,2026-03-02,Paid Social,li_agency_owners,L02849,active,
C0248,Kingsley Capital,Logistics,200+,2026-03-24,Referral,client_referral,L02854,active,
C0249,Summit Solutions,Construction,11-50,2026-03-15,Outbound,linkedin_dm,L02864,churned,2026-05-16
C0250,Redstone Solutions,Insurance,200+,2026-03-17,Referral,partner,L02869,active,
C0251,Clearview Solutions,Construction,51-200,2026-03-16,Paid Search,gs_va_hire,L02884,active,
C0252,Oakfield Realty,Marketing Agency,51-200,2026-03-18,Paid Search,gs_va_hire,L02887,active,
C0253,Cedar Creek Partners,E-commerce,200+,2026-03-20,Paid Search,gs_latam_talent,L02892,active,
C0254,Ironwood Capital,SaaS,51-200,2026-03-19,Paid Search,gs_va_hire,L02906,churned,2026-07-01
C0255,Clearview Group,Legal,200+,2026-03-16,Paid Search,gs_va_hire,L02908,active,
C0256,Silverline Media,E-commerce,1-10,2026-03-16,Organic,blog,L02922,active,
C0257,Clearview LLC,Legal,1-10,2026-03-15,Organic,seo_landing,L02924,active,
C0258,Westbrook Group,SaaS,1-10,2026-03-12,Paid Search,gs_va_hire,L02929,churned,2026-06-13
C0259,Clearview LLC,Logistics,200+,2026-03-16,Paid Search,gs_va_hire,L02954,active,
C0260,Cedar Creek Solutions,Legal,1-10,2026-03-19,Referral,partner,L02957,churned,2026-06-30
C0261,Cedar Creek Media,Logistics,1-10,2026-03-14,Outbound,cold_email_q1,L02960,active,
C0262,Oakfield Capital,Insurance,11-50,2026-03-26,Paid Search,gs_latam_talent,L03041,churned,2026-06-19
C0263,Summit Realty,Marketing Agency,200+,2026-04-01,Paid Search,gs_latam_talent,L03056,active,
C0264,Redstone Capital,Real Estate,1-10,2026-04-05,Referral,partner,L03060,active,
C0265,Kingsley Solutions,Healthcare,11-50,2026-04-17,Outbound,cold_email_q2,L03096,active,
C0266,Clearview LLC,Real Estate,51-200,2026-04-05,Referral,client_referral,L03110,active,
C0267,Brightpath Capital,Logistics,200+,2026-04-09,Referral,partner,L03121,active,
C0268,Redstone LLC,Insurance,51-200,2026-04-19,Paid Search,gs_va_hire,L03124,active,
C0269,Pinnacle Solutions,Logistics,51-200,2026-04-11,Paid Search,gs_latam_talent,L03134,churned,2026-07-15
C0270,Cedar Creek Partners,Legal,51-200,2026-04-27,Paid Search,gs_latam_talent,L03150,active,
C0271,Pinnacle Solutions,E-commerce,51-200,2026-04-19,Paid Search,gs_latam_talent,L03156,active,
C0272,Northgate Realty,Marketing Agency,11-50,2026-04-21,Referral,client_referral,L03163,active,
C0273,Ironwood Group,Construction,1-10,2026-04-10,Referral,partner,L03164,active,
C0274,Kingsley Partners,Real Estate,200+,2026-04-15,Paid Search,gs_competitor,L03169,churned,2026-07-11
C0275,Pinnacle Partners,Insurance,11-50,2026-04-25,Paid Social,li_agency_owners,L03189,active,
C0276,Lakeshore Media,Healthcare,11-50,2026-04-21,Paid Search,gs_competitor,L03190,active,
C0277,Westbrook Group,Logistics,11-50,2026-04-21,Referral,client_referral,L03210,active,
C0278,Redstone Realty,Legal,200+,2026-05-02,Outbound,cold_email_q1,L03213,active,
C0279,Brightpath LLC,Real Estate,51-200,2026-04-24,Referral,partner,L03232,active,
C0280,Oakfield LLC,Healthcare,200+,2026-04-29,Outbound,cold_email_q2,L03234,active,
C0281,Westbrook Capital,Legal,200+,2026-05-02,Paid Search,gs_competitor,L03245,active,
C0282,Cedar Creek Realty,SaaS,51-200,2026-05-11,Outbound,cold_email_q2,L03259,active,
