vacancy_id,client_id,role_title,role_family,priority,opened_date,status,filled_date,target_monthly_rate_usd
V00048,C0021,Automation Specialist,Technical,Standard,2025-08-16,filled,2025-09-15,1500
V00049,C0022,Social Media Manager,Marketing VA,Urgent,2025-07-27,filled,2025-08-13,1800
V00050,C0022,Executive Assistant,Executive VA,High,2026-04-14,on_hold,,1000
V00051,C0022,Web Developer,Technical,Standard,2025-03-09,on_hold,,1200
V00052,C0022,Automation Specialist,Technical,Standard,2026-02-11,on_hold,,1500
V00053,C0023,Accounts Payable Clerk,Bookkeeping,Standard,2025-03-05,filled,2025-04-04,1500
V00054,C0023,Executive Assistant,Executive VA,Standard,2025-04-15,cancelled,,1200
V00055,C0024,Appointment Setter,Sales VA,Standard,2025-05-12,filled,2025-05-30,1800
V00056,C0024,Executive Assistant,Executive VA,High,2026-03-24,on_hold,,2100
V00057,C0024,Accounts Payable Clerk,Bookkeeping,Urgent,2025-10-19,cancelled,,1800
V00058,C0025,Bookkeeper,Bookkeeping,Standard,2025-11-09,on_hold,,800
V00059,C0026,Customer Support Agent,Customer Support,Urgent,2026-02-26,on_hold,,1500
V00060,C0026,Cold Caller,Sales VA,High,2025-05-11,filled,2025-06-04,1800
V00061,C0026,Automation Specialist,Technical,Standard,2025-05-21,on_hold,,1500
V00062,C0027,Data Analyst,Technical,High,2026-02-25,filled,2026-03-19,1000
V00063,C0028,Bookkeeper,Bookkeeping,Standard,2025-06-20,filled,2025-07-28,1800
V00064,C0028,Executive Assistant,Executive VA,Urgent,2025-04-16,filled,2025-05-05,1000
V00065,C0029,Customer Support Agent,Customer Support,High,2025-12-17,filled,2026-01-01,1000
V00066,C0030,Customer Support Agent,Customer Support,Standard,2026-05-13,filled,2026-06-03,1800
V00067,C0031,Automation Specialist,Technical,Urgent,2026-07-02,open,,1000
V00068,C0032,Helpdesk Agent,Customer Support,Standard,2025-12-04,filled,2025-12-25,1800
V00069,C0033,Social Media Manager,Marketing VA,Standard,2025-10-13,cancelled,,1200
V00070,C0034,Web Developer,Technical,Standard,2026-06-26,open,,1500
V00071,C0034,Customer Support Agent,Customer Support,High,2026-06-24,open,,1500
V00072,C0035,Executive Assistant,Executive VA,Standard,2026-04-15,filled,2026-05-20,1000
V00073,C0036,Helpdesk Agent,Customer Support,High,2026-02-19,cancelled,,1500
V00074,C0036,Email Marketer,Marketing VA,Standard,2026-04-01,filled,2026-04-20,800
V00075,C0037,Bookkeeper,Bookkeeping,Standard,2026-01-05,cancelled,,1500
V00076,C0038,Helpdesk Agent,Customer Support,Standard,2026-01-10,filled,2026-01-31,2100
V00077,C0038,Executive Assistant,Executive VA,Standard,2026-01-19,cancelled,,800
V00078,C0038,Accounts Payable Clerk,Bookkeeping,High,2026-07-19,open,,2100
V00079,C0038,Web Developer,Technical,Standard,2025-05-14,on_hold,,1200
V00080,C0039,Cold Caller,Sales VA,Standard,2025-07-03,filled,2025-07-17,1500
V00081,C0039,Social Media Manager,Marketing VA,Standard,2025-07-24,cancelled,,800
V00082,C0040,Accounts Payable Clerk,Bookkeeping,Urgent,2026-05-28,cancelled,,2100
V00083,C0040,Accounts Payable Clerk,Bookkeeping,High,2026-05-09,on_hold,,1200
V00084,C0040,Data Analyst,Technical,Standard,2026-05-29,filled,2026-07-04,800
V00085,C0040,Web Developer,Technical,Standard,2025-10-02,filled,2025-09-29,2100
V00086,C0041,Helpdesk Agent,Customer Support,Standard,2025-12-04,filled,2025-12-24,1000
V00087,C0041,Operations Assistant,Executive VA,High,2025-09-14,filled,2025-10-04,2100
V00088,C0042,Sales Development Rep,Sales VA,High,2025-07-06,filled,2025-07-24,1800
V00089,C0043,Operations Assistant,Executive VA,Standard,2025-07-30,filled,2025-08-21,1800
V00090,C0044,Accounts Payable Clerk,Bookkeeping,Standard,2026-02-06,cancelled,,1800
V00091,C0044,Cold Caller,Sales VA,Standard,2025-11-20,filled,2025-12-13,1200
V00092,C0044,Sales Development Rep,Sales VA,Standard,2025-05-22,filled,2025-06-05,1500
V00093,C0045,Operations Assistant,Executive VA,Urgent,2025-05-07,filled,2025-05-25,800
V00094,C0045,Automation Specialist,Technical,Standard,2025-08-11,open,,2100
V00095,C0046,Operations Assistant,Executive VA,High,2026-06-01,filled,2026-06-24,2100
V00096,C0046,Operations Assistant,Executive VA,Standard,2026-02-10,filled,2026-02-25,1500
V00097,C0046,Content Writer,Marketing VA,Standard,2025-05-19,filled,2025-05-31,2100
V00098,C0047,Data Analyst,Technical,Standard,2025-08-20,filled,2025-09-15,800
V00099,C0048,Cold Caller,Sales VA,High,2025-11-27,on_hold,,1000
V00100,C0049,Content Writer,Marketing VA,Standard,2026-01-23,cancelled,,1000
V00101,C0050,Data Analyst,Technical,High,2025-11-05,filled,2025-12-19,1000
V00102,C0050,Customer Support Agent,Customer Support,Standard,2025-05-03,filled,2025-05-13,1200
V00103,C0050,Automation Specialist,Technical,High,2025-05-11,cancelled,,1200
V00104,C0050,Customer Support Agent,Customer Support,Standard,2026-02-05,filled,2026-02-19,1000
V00105,C0051,Web Developer,Technical,Standard,2025-12-28,filled,2026-01-10,1000
V00106,C0051,Content Writer,Marketing VA,Standard,2025-04-29,cancelled,,1200
V00107,C0052,Executive Assistant,Executive VA,High,2026-06-11,open,,2100
V00108,C0052,Operations Assistant,Executive VA,High,2025-10-02,filled,2025-10-21,1200
V00109,C0052,Accounts Payable Clerk,Bookkeeping,Standard,2025-07-27,filled,2025-08-21,1200
V00110,C0053,Customer Support Agent,Customer Support,High,2026-01-26,filled,2026-02-09,800
V00111,C0054,Data Analyst,Technical,High,2025-08-28,cancelled,,1500
V00112,C0054,Bookkeeper,Bookkeeping,Standard,2025-05-24,cancelled,,1000
V00113,C0054,Cold Caller,Sales VA,Standard,2025-05-18,filled,2025-06-07,1200
V00114,C0054,Web Developer,Technical,Standard,2026-01-29,open,,1500
V00115,C0055,Email Marketer,Marketing VA,Standard,2026-06-26,filled,2026-07-07,1200
V00116,C0056,Helpdesk Agent,Customer Support,Standard,2026-04-18,cancelled,,1000
V00117,C0056,Accounts Payable Clerk,Bookkeeping,High,2025-12-10,cancelled,,1200
V00118,C0056,Sales Development Rep,Sales VA,Standard,2026-01-28,on_hold,,1000
V00119,C0057,Executive Assistant,Executive VA,High,2026-07-24,open,,1200
V00120,C0058,Accounts Payable Clerk,Bookkeeping,Standard,2025-05-27,cancelled,,1000
V00121,C0059,Customer Support Agent,Customer Support,Standard,2025-08-22,filled,2025-09-17,1500
V00122,C0060,Helpdesk Agent,Customer Support,Standard,2025-10-30,filled,2025-11-06,1200
V00123,C0060,Email Marketer,Marketing VA,Standard,2026-04-23,filled,2026-05-11,1500
V00124,C0061,Customer Support Agent,Customer Support,Urgent,2025-09-30,cancelled,,800
V00125,C0061,Appointment Setter,Sales VA,Standard,2025-10-29,filled,2025-11-27,2100
V00126,C0061,Customer Support Agent,Customer Support,High,2025-07-11,cancelled,,1500
V00127,C0062,Accounts Payable Clerk,Bookkeeping,High,2025-06-11,filled,2025-07-10,1500
V00128,C0063,Email Marketer,Marketing VA,Standard,2026-03-23,on_hold,,800
V00129,C0063,Customer Support Agent,Customer Support,Standard,2025-11-14,cancelled,,1500
V00130,C0063,Accounts Payable Clerk,Bookkeeping,Urgent,2025-05-29,filled,2025-06-06,1200
V00131,C0064,Operations Assistant,Executive VA,Standard,2025-07-31,on_hold,,800
V00132,C0064,Operations Assistant,Executive VA,Urgent,2026-03-27,filled,2026-04-27,1000
V00133,C0064,Cold Caller,Sales VA,High,2025-07-25,filled,2025-08-05,1800
V00134,C0064,Social Media Manager,Marketing VA,Standard,2025-06-20,filled,2025-07-04,1000
V00135,C0064,Email Marketer,Marketing VA,Standard,2026-07-17,open,,2100
V00136,C0065,Executive Assistant,Executive VA,Standard,2026-07-10,open,,1800
V00137,C0065,Helpdesk Agent,Customer Support,Standard,2025-12-26,cancelled,,1800
V00138,C0066,Cold Caller,Sales VA,Standard,2026-01-04,cancelled,,1200
V00139,C0066,Data Analyst,Technical,Standard,2025-05-23,filled,2025-06-30,1000
V00140,C0066,Customer Support Agent,Customer Support,Urgent,2026-07-13,open,,800
V00141,C0066,Customer Support Agent,Customer Support,High,2026-04-16,filled,2026-05-22,1200
V00142,C0067,Customer Support Agent,Customer Support,Standard,2025-06-15,on_hold,,800
V00143,C0067,Operations Assistant,Executive VA,High,2026-03-09,filled,2026-03-28,1200
V00144,C0068,Bookkeeper,Bookkeeping,Standard,2026-01-24,filled,2026-03-05,1800
V00145,C0068,Sales Development Rep,Sales VA,High,2026-02-20,filled,2026-03-04,800
V00146,C0069,Accounts Payable Clerk,Bookkeeping,High,2026-01-06,filled,2026-01-25,1200
V00147,C0069,Executive Assistant,Executive VA,Urgent,2026-03-21,filled,2026-04-14,2100
V00148,C0069,Content Writer,Marketing VA,Urgent,2025-11-11,filled,2025-12-02,1500
V00149,C0070,Accounts Payable Clerk,Bookkeeping,Standard,2025-07-02,filled,2025-07-14,1200
V00150,C0071,Web Developer,Technical,Standard,2025-12-31,filled,2026-02-05,2100
V00151,C0072,Operations Assistant,Executive VA,Urgent,2025-09-17,filled,2025-10-18,1000
V00152,C0073,Automation Specialist,Technical,Standard,2026-02-03,filled,2026-03-29,1500
V00153,C0073,Executive Assistant,Executive VA,Urgent,2025-12-10,filled,2026-01-05,1800
V00154,C0074,Web Developer,Technical,Standard,2026-06-06,filled,2026-07-10,1500
V00155,C0074,Helpdesk Agent,Customer Support,Urgent,2026-06-20,on_hold,,1500
V00156,C0074,Automation Specialist,Technical,Standard,2026-03-25,filled,2026-04-09,1200
V00157,C0075,Automation Specialist,Technical,Standard,2025-09-17,cancelled,,800
V00158,C0076,Helpdesk Agent,Customer Support,Standard,2026-07-22,open,,2100
V00159,C0077,Data Analyst,Technical,Standard,2025-06-05,filled,2025-06-15,1200
V00160,C0077,Email Marketer,Marketing VA,Standard,2026-04-07,filled,2026-04-27,1500
V00161,C0078,Operations Assistant,Executive VA,Standard,2026-05-03,cancelled,,2100
V00162,C0078,Bookkeeper,Bookkeeping,Standard,2025-07-13,filled,2025-08-04,1500
V00163,C0078,Customer Support Agent,Customer Support,High,2025-08-28,filled,2025-09-07,1800
V00164,C0078,Email Marketer,Marketing VA,High,2026-01-10,filled,2026-01-29,1500
V00165,C0079,Sales Development Rep,Sales VA,Standard,2026-02-09,cancelled,,800
V00166,C0080,Bookkeeper,Bookkeeping,Standard,2026-04-17,filled,2026-04-30,800
V00167,C0081,Email Marketer,Marketing VA,Urgent,2026-03-20,open,,800
V00168,C0082,Appointment Setter,Sales VA,High,2025-12-27,cancelled,,1200
V00169,C0082,Executive Assistant,Executive VA,High,2026-06-04,on_hold,,1500
V00170,C0082,Social Media Manager,Marketing VA,Standard,2026-07-17,open,,1500
V00171,C0082,Executive Assistant,Executive VA,Standard,2025-11-06,filled,2025-11-29,1800
V00172,C0083,Executive Assistant,Executive VA,Standard,2026-05-16,filled,2026-06-15,2100
V00173,C0084,Web Developer,Technical,High,2025-07-23,cancelled,,1200
V00174,C0085,Helpdesk Agent,Customer Support,Standard,2025-07-08,filled,2025-07-20,1200
V00175,C0085,Social Media Manager,Marketing VA,Standard,2025-11-06,filled,2025-11-18,800
V00176,C0086,Cold Caller,Sales VA,Urgent,2025-11-04,on_hold,,1200
V00177,C0087,Cold Caller,Sales VA,Urgent,2025-06-16,filled,2025-07-12,2100
V00178,C0087,Operations Assistant,Executive VA,Standard,2026-05-29,filled,2026-06-16,1200
V00179,C0087,Operations Assistant,Executive VA,Standard,2026-05-24,on_hold,,1500
V00180,C0088,Executive Assistant,Executive VA,Standard,2026-03-06,filled,2026-03-26,1000
V00181,C0088,Cold Caller,Sales VA,Urgent,2026-06-07,filled,2026-06-16,1800
V00182,C0089,Bookkeeper,Bookkeeping,Standard,2025-07-30,filled,2025-08-16,2100
V00183,C0089,Executive Assistant,Executive VA,Urgent,2025-12-12,cancelled,,1500
V00184,C0089,Sales Development Rep,Sales VA,High,2026-02-11,cancelled,,1000
V00185,C0089,Executive Assistant,Executive VA,High,2025-07-01,on_hold,,800
V00186,C0089,Helpdesk Agent,Customer Support,High,2026-04-03,filled,2026-04-16,1800
V00187,C0090,Social Media Manager,Marketing VA,High,2026-05-19,filled,2026-06-07,1800
V00188,C0090,Content Writer,Marketing VA,Standard,2026-04-23,filled,2026-05-12,1500
V00189,C0090,Web Developer,Technical,Standard,2025-07-15,on_hold,,1500
V00190,C0090,Customer Support Agent,Customer Support,Standard,2026-01-30,cancelled,,1500
V00191,C0091,Content Writer,Marketing VA,Standard,2026-03-03,filled,2026-03-16,800
V00192,C0091,Cold Caller,Sales VA,Standard,2025-10-16,filled,2025-11-04,1000
V00193,C0092,Executive Assistant,Executive VA,High,2026-01-05,filled,2026-01-30,2100
V00194,C0093,Executive Assistant,Executive VA,Standard,2026-02-13,filled,2026-03-06,2100
V00195,C0093,Helpdesk Agent,Customer Support,High,2026-04-28,filled,2026-05-07,1000
V00196,C0094,Content Writer,Marketing VA,High,2026-02-07,cancelled,,1500
V00197,C0094,Web Developer,Technical,Standard,2026-01-16,filled,2026-02-17,800
V00198,C0095,Helpdesk Agent,Customer Support,High,2025-09-15,filled,2025-09-29,1500
V00199,C0095,Executive Assistant,Executive VA,Standard,2026-06-14,open,,1500
V00200,C0095,Data Analyst,Technical,Urgent,2026-07-19,open,,2100
V00201,C0095,Social Media Manager,Marketing VA,High,2025-12-06,filled,2025-12-31,800
V00202,C0095,Helpdesk Agent,Customer Support,Standard,2026-06-21,filled,2026-07-12,1500
V00203,C0096,Cold Caller,Sales VA,Urgent,2026-02-27,filled,2026-03-09,800
V00204,C0096,Data Analyst,Technical,Standard,2026-02-23,filled,2026-04-02,1800
V00205,C0097,Operations Assistant,Executive VA,Standard,2026-05-17,filled,2026-05-25,1200
V00206,C0097,Sales Development Rep,Sales VA,Standard,2026-03-15,filled,2026-04-02,1800
V00207,C0097,Sales Development Rep,Sales VA,Urgent,2025-10-31,cancelled,,1000
V00208,C0097,Operations Assistant,Executive VA,Urgent,2025-10-24,cancelled,,1000
V00209,C0098,Bookkeeper,Bookkeeping,Standard,2026-01-28,filled,2026-02-21,1800
V00210,C0099,Bookkeeper,Bookkeeping,Standard,2025-09-12,filled,2025-09-30,800
V00211,C0100,Accounts Payable Clerk,Bookkeeping,High,2025-09-06,cancelled,,2100
V00212,C0100,Customer Support Agent,Customer Support,High,2025-11-11,filled,2025-12-02,1200
V00213,C0100,Bookkeeper,Bookkeeping,High,2026-05-26,filled,2026-06-24,800
V00214,C0101,Executive Assistant,Executive VA,Urgent,2025-09-14,cancelled,,800
V00215,C0102,Executive Assistant,Executive VA,High,2026-05-06,filled,2026-06-13,1800
V00216,C0102,Data Analyst,Technical,Standard,2026-05-27,open,,1500
V00217,C0102,Customer Support Agent,Customer Support,Standard,2025-10-19,filled,2025-11-14,1200
V00218,C0102,Data Analyst,Technical,High,2025-07-03,cancelled,,2100
V00219,C0103,Data Analyst,Technical,Urgent,2026-07-22,open,,800
V00220,C0103,Data Analyst,Technical,High,2025-09-06,filled,2025-10-16,1500
V00221,C0103,Web Developer,Technical,Standard,2025-10-21,on_hold,,1800
V00222,C0104,Data Analyst,Technical,Urgent,2025-07-10,on_hold,,2100
V00223,C0104,Operations Assistant,Executive VA,Standard,2025-10-07,filled,2025-09-30,2100
V00224,C0104,Helpdesk Agent,Customer Support,Standard,2025-10-30,filled,2025-11-13,2100
V00225,C0104,Operations Assistant,Executive VA,High,2026-01-03,on_hold,,1800
V00226,C0105,Helpdesk Agent,Customer Support,Standard,2025-11-23,filled,2025-12-06,800
V00227,C0105,Executive Assistant,Executive VA,High,2026-07-14,open,,1500
V00228,C0105,Bookkeeper,Bookkeeping,Standard,2026-04-27,cancelled,,1000
V00229,C0105,Accounts Payable Clerk,Bookkeeping,Standard,2026-07-16,open,,2100
V00230,C0106,Helpdesk Agent,Customer Support,High,2025-09-27,on_hold,,1200
V00231,C0106,Executive Assistant,Executive VA,Standard,2026-03-15,filled,2026-03-28,1800
V00232,C0107,Email Marketer,Marketing VA,Urgent,2026-04-08,filled,2026-04-21,1000
V00233,C0108,Bookkeeper,Bookkeeping,Standard,2025-10-25,cancelled,,2100
V00234,C0108,Accounts Payable Clerk,Bookkeeping,Standard,2026-01-19,filled,2026-02-11,2100
V00235,C0108,Social Media Manager,Marketing VA,Standard,2026-07-09,open,,1200
V00236,C0108,Data Analyst,Technical,Urgent,2026-03-17,filled,2026-04-15,1800
V00237,C0109,Automation Specialist,Technical,Standard,2026-01-30,cancelled,,800
V00238,C0110,Social Media Manager,Marketing VA,Standard,2026-04-16,filled,2026-05-06,2100
V00239,C0110,Automation Specialist,Technical,Standard,2026-06-10,filled,2026-07-04,1800
V00240,C0111,Cold Caller,Sales VA,Urgent,2026-05-05,cancelled,,1800
V00241,C0111,Sales Development Rep,Sales VA,Standard,2025-11-27,filled,2025-12-17,2100
V00242,C0112,Accounts Payable Clerk,Bookkeeping,Standard,2026-06-20,filled,2026-07-05,1500
V00243,C0112,Executive Assistant,Executive VA,Standard,2025-10-22,filled,2025-11-02,2100
V00244,C0112,Cold Caller,Sales VA,High,2026-02-27,cancelled,,1800
V00245,C0113,Operations Assistant,Executive VA,Standard,2025-09-13,filled,2025-10-14,1200
V00246,C0113,Appointment Setter,Sales VA,Standard,2026-07-15,open,,1800
V00247,C0113,Bookkeeper,Bookkeeping,Standard,2026-04-01,on_hold,,1500
V00248,C0114,Web Developer,Technical,Standard,2025-10-26,filled,2025-11-27,800
V00249,C0114,Bookkeeper,Bookkeeping,Standard,2025-12-14,cancelled,,1000
V00250,C0115,Data Analyst,Technical,Standard,2026-04-06,cancelled,,1800
V00251,C0115,Cold Caller,Sales VA,High,2026-01-28,cancelled,,1500
V00252,C0116,Customer Support Agent,Customer Support,Standard,2026-07-07,open,,2100
V00253,C0116,Operations Assistant,Executive VA,High,2026-03-25,filled,2026-04-09,1000
V00254,C0116,Cold Caller,Sales VA,Standard,2026-03-03,filled,2026-04-02,1000
V00255,C0117,Helpdesk Agent,Customer Support,Standard,2025-09-18,filled,2025-10-02,1000
V00256,C0117,Automation Specialist,Technical,Standard,2025-10-13,filled,2025-11-19,1500
V00257,C0118,Web Developer,Technical,High,2025-08-17,filled,2025-09-30,1200
V00258,C0118,Appointment Setter,Sales VA,Standard,2025-11-11,filled,2025-11-30,1500
V00259,C0118,Data Analyst,Technical,Standard,2026-06-03,filled,2026-07-13,800
V00260,C0119,Helpdesk Agent,Customer Support,Urgent,2026-02-23,filled,2026-03-10,2100
V00261,C0119,Data Analyst,Technical,High,2025-10-22,filled,2025-11-13,1500
V00262,C0119,Executive Assistant,Executive VA,High,2026-06-11,filled,2026-07-16,1500
V00263,C0120,Sales Development Rep,Sales VA,Urgent,2026-01-19,cancelled,,2100
V00264,C0120,Executive Assistant,Executive VA,Standard,2026-06-05,filled,2026-06-23,1500
V00265,C0121,Customer Support Agent,Customer Support,High,2025-09-08,filled,2025-09-07,1000
V00266,C0121,Helpdesk Agent,Customer Support,High,2025-09-20,cancelled,,2100
V00267,C0121,Accounts Payable Clerk,Bookkeeping,Urgent,2026-06-10,filled,2026-06-23,1000
V00268,C0121,Email Marketer,Marketing VA,Standard,2026-06-20,filled,2026-07-09,1500
V00269,C0122,Content Writer,Marketing VA,Standard,2026-02-14,on_hold,,1800
V00270,C0122,Cold Caller,Sales VA,Standard,2025-11-24,filled,2025-12-05,1000
V00271,C0123,Executive Assistant,Executive VA,Standard,2025-09-23,cancelled,,1800
V00272,C0123,Email Marketer,Marketing VA,Standard,2026-03-10,filled,2026-03-28,1500
V00273,C0123,Executive Assistant,Executive VA,Standard,2025-12-08,filled,2025-12-18,1000
V00274,C0123,Web Developer,Technical,Standard,2026-05-13,filled,2026-06-22,1000
V00275,C0123,Customer Support Agent,Customer Support,Standard,2026-05-13,cancelled,,1200
V00276,C0124,Sales Development Rep,Sales VA,Standard,2025-08-18,cancelled,,1000
V00277,C0125,Email Marketer,Marketing VA,High,2026-01-26,cancelled,,1800
V00278,C0126,Helpdesk Agent,Customer Support,Urgent,2026-04-01,cancelled,,1000
V00279,C0126,Web Developer,Technical,Standard,2026-03-15,cancelled,,800
V00280,C0126,Bookkeeper,Bookkeeping,Standard,2025-08-31,on_hold,,800
V00281,C0127,Executive Assistant,Executive VA,Urgent,2026-01-14,filled,2026-02-01,1500
V00282,C0127,Executive Assistant,Executive VA,Standard,2026-06-19,filled,2026-07-06,1000
V00283,C0128,Web Developer,Technical,Standard,2026-03-03,on_hold,,1200
V00284,C0129,Bookkeeper,Bookkeeping,Urgent,2026-06-21,open,,800
V00285,C0130,Automation Specialist,Technical,Standard,2026-04-07,on_hold,,1000
V00286,C0130,Sales Development Rep,Sales VA,Standard,2026-04-12,cancelled,,1200
V00287,C0131,Operations Assistant,Executive VA,High,2026-06-14,open,,800
V00288,C0132,Cold Caller,Sales VA,Standard,2026-02-09,filled,2026-02-19,800
V00289,C0132,Helpdesk Agent,Customer Support,Standard,2025-11-18,filled,2025-12-09,1500
V00290,C0133,Bookkeeper,Bookkeeping,Standard,2026-01-11,filled,2026-01-31,1000
V00291,C0133,Sales Development Rep,Sales VA,Standard,2026-01-21,cancelled,,800
V00292,C0134,Operations Assistant,Executive VA,High,2026-02-12,filled,2026-03-05,1800
V00293,C0134,Sales Development Rep,Sales VA,Standard,2026-05-27,filled,2026-06-19,1500
V00294,C0134,Executive Assistant,Executive VA,Standard,2025-12-12,filled,2026-01-13,1800
V00295,C0134,Executive Assistant,Executive VA,Standard,2025-11-22,cancelled,,800
V00296,C0135,Executive Assistant,Executive VA,Standard,2025-09-18,cancelled,,1500
V00297,C0135,Helpdesk Agent,Customer Support,High,2025-10-07,cancelled,,1200
V00298,C0136,Helpdesk Agent,Customer Support,High,2025-12-07,filled,2025-12-20,800
V00299,C0136,Operations Assistant,Executive VA,Standard,2026-06-23,filled,2026-07-04,1000
V00300,C0136,Web Developer,Technical,Standard,2025-10-28,filled,2025-11-04,2100
V00301,C0137,Accounts Payable Clerk,Bookkeeping,Standard,2026-06-20,filled,2026-07-18,1200
V00302,C0137,Bookkeeper,Bookkeeping,Standard,2026-04-22,filled,2026-05-22,1500
V00303,C0137,Helpdesk Agent,Customer Support,Standard,2026-03-02,filled,2026-03-24,1800
V00304,C0138,Cold Caller,Sales VA,Urgent,2026-01-10,cancelled,,1200
V00305,C0138,Operations Assistant,Executive VA,High,2026-02-02,filled,2026-02-21,1200
V00306,C0138,Cold Caller,Sales VA,Standard,2026-01-21,filled,2026-02-13,2100
V00307,C0138,Customer Support Agent,Customer Support,Standard,2026-01-12,cancelled,,2100
V00308,C0139,Sales Development Rep,Sales VA,Standard,2026-06-27,open,,1800
V00309,C0140,Cold Caller,Sales VA,Standard,2026-04-04,cancelled,,1000
V00310,C0141,Bookkeeper,Bookkeeping,Standard,2026-01-08,filled,2026-02-11,800
V00311,C0142,Executive Assistant,Executive VA,High,2026-07-14,open,,1000
V00312,C0143,Email Marketer,Marketing VA,Urgent,2026-02-27,filled,2026-03-11,1000
V00313,C0143,Customer Support Agent,Customer Support,Standard,2025-12-21,cancelled,,1800
V00314,C0144,Content Writer,Marketing VA,Urgent,2026-06-16,filled,2026-07-12,1200
V00315,C0144,Operations Assistant,Executive VA,Standard,2025-10-10,filled,2025-11-16,1500
V00316,C0144,Content Writer,Marketing VA,Standard,2025-09-21,on_hold,,1000
V00317,C0144,Web Developer,Technical,Standard,2026-05-10,open,,1500
V00318,C0145,Executive Assistant,Executive VA,High,2026-06-15,open,,1200
